Title,Youtube link,Views,Date,Img link
GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=JoNs4m0QCig,7.6K views,4 months ago,https://i.ytimg.com/vi/JoNs4m0QCig/hqdefault.jpg
GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=puDKP5_0Ol4,11K views,4 months ago,https://i.ytimg.com/vi/puDKP5_0Ol4/hqdefault.jpg
"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",https://www.youtube.com//watch?v=1TnVdzwbzJo,1.2K views,4 months ago,https://i.ytimg.com/vi/1TnVdzwbzJo/hqdefault.jpg
Why you will not get placed? | Save yourself Now,https://www.youtube.com//watch?v=b-6rmk233DU&pp=0gcJCb8Ag7Wk3p_U,2.2K views,4 months ago,https://i.ytimg.com/vi/b-6rmk233DU/hqdefault.jpg
Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,https://www.youtube.com//watch?v=rfyhmQYEJKE,3K views,4 months ago,https://i.ytimg.com/vi/rfyhmQYEJKE/hqdefault.jpg
"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",https://www.youtube.com//watch?v=hDfjzq9m5vI&pp=0gcJCb8Ag7Wk3p_U,1M views,4 months ago,https://i.ytimg.com/vi/hDfjzq9m5vI/hqdefault.jpg
Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,https://www.youtube.com//watch?v=A7_iaBNOxSU,4.3K views,5 months ago,https://i.ytimg.com/vi/A7_iaBNOxSU/hqdefault.jpg
Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,https://www.youtube.com//watch?v=FyHidTTNXJ8&pp=0gcJCb8Ag7Wk3p_U,3.6K views,5 months ago,https://i.ytimg.com/vi/FyHidTTNXJ8/hqdefault.jpg
How I would learn to code (if i could start over) | 18 LPA+ Package,https://www.youtube.com//watch?v=Bq4TH-OhqY0,2.1K views,5 months ago,https://i.ytimg.com/vi/Bq4TH-OhqY0/hqdefault.jpg
Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,https://www.youtube.com//watch?v=DoXFPztXGyM&pp=0gcJCb8Ag7Wk3p_U,3.8K views,5 months ago,https://i.ytimg.com/vi/DoXFPztXGyM/hqdefault.jpg
"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",https://www.youtube.com//watch?v=UvNQUwuN9Ss,57K views,5 months ago,https://i.ytimg.com/vi/UvNQUwuN9Ss/hqdefault.jpg
GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,https://www.youtube.com//watch?v=kBN7AZ0MRgI,8.8K views,5 months ago,https://i.ytimg.com/vi/kBN7AZ0MRgI/hqdefault.jpg
From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,https://www.youtube.com//watch?v=lWrzQFqgTcY,1.4K views,5 months ago,https://i.ytimg.com/vi/lWrzQFqgTcY/hqdefault.jpg
Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,https://www.youtube.com//watch?v=loPvFZXUcNw,9.8K views,5 months ago,https://i.ytimg.com/vi/loPvFZXUcNw/hqdefault.jpg
Crack Off-Campus Placement before 2025 with this Strategy,https://www.youtube.com//watch?v=rQs1n2ERSvk,4.6K views,5 months ago,https://i.ytimg.com/vi/rQs1n2ERSvk/hqdefault.jpg
"GeeksforGeeks Premium | 35+ Courses, Ad-Free Learning, A.I. Bot, Text Summarisation & more",https://www.youtube.com//watch?v=P_ZxK9dTyeA,57K views,5 months ago,https://i.ytimg.com/vi/P_ZxK9dTyeA/hqdefault.jpg
Master Competitive Programming with this RoadMap | *Free Resources Inside*,https://www.youtube.com//watch?v=lozDmn15zcw,7.6K views,5 months ago,https://i.ytimg.com/vi/lozDmn15zcw/hqdefault.jpg
These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,https://www.youtube.com//watch?v=KY73lTNeWzI,6.1K views,6 months ago,https://i.ytimg.com/vi/KY73lTNeWzI/hqdefault.jpg
"I went to the House of a Google Project Manager | Life at Google |Project Management Roadmap, Salary",https://www.youtube.com//watch?v=cC8MjoYGedk,634K views,6 months ago,https://i.ytimg.com/vi/cC8MjoYGedk/hqdefault.jpg
Is the Tech Recession finally over? | Massive Tech Layoffs & Recession | How to get a job in 2024?,https://www.youtube.com//watch?v=wolOoIsBnew&pp=0gcJCb8Ag7Wk3p_U,5.4K views,6 months ago,https://i.ytimg.com/vi/wolOoIsBnew/hqdefault.jpg
Master Software Testing & Automation | Career in Testing | GeeksforGeeks,https://www.youtube.com//watch?v=b3uovZLWkVM,1K views,6 months ago,https://i.ytimg.com/vi/b3uovZLWkVM/hqdefault.jpg
🚀 Please Watch this Video if you are a College Student | Get Placed in 2024,https://www.youtube.com//watch?v=9Fx3wGat0Fg,2.6K views,6 months ago,https://i.ytimg.com/vi/9Fx3wGat0Fg/hqdefault.jpg
Python Fundamentals and its Applications with GeeksforGeeks,https://www.youtube.com//watch?v=qzyTwGpDYog,4.4K views,6 months ago,https://i.ytimg.com/vi/qzyTwGpDYog/hqdefault.jpg
(Not Clickbait) Learn Recursion in just 300 seconds 😮 | DSA Made Simple,https://www.youtube.com//watch?v=Bi_rfJLf-jA,1.5K views,6 months ago,https://i.ytimg.com/vi/Bi_rfJLf-jA/hqdefault.jpg
From Tier 3 College to 20LPA Package 🤑 at Harman as a Senior Software Engineer | My Journey,https://www.youtube.com//watch?v=cGPpUdaISGE,5.5K views,6 months ago,https://i.ytimg.com/vi/cGPpUdaISGE/hqdefault.jpg
